11/05/1978	Detroit             	 7	Minnesota           	17
11/05/1978	New England         	14	Buffalo             	10
11/05/1978	NY Jets             	31	Denver              	28
11/05/1978	Oakland             	20	Kansas City         	10
11/05/1978	Green Bay           	 3	Philadelphia        	10
11/05/1978	New Orleans         	14	Pittsburgh          	20
11/05/1978	Cincinnati          	13	San Diego           	22
11/05/1978	Seattle             	31	Chicago             	29
11/05/1978	NY Giants           	10	St Louis            	20
11/06/1978	Washington          	17	Baltimore           	21
11/12/1978	Atlanta             	20	New Orleans         	17
11/12/1978	Baltimore           	17	Seattle             	14
11/12/1978	Dallas              	42	Green Bay           	14
11/12/1978	Denver              	19	Cleveland           	 7
11/12/1978	Tampa Bay           	23	Detroit             	34
11/12/1978	Houston             	26	New England         	23
11/12/1978	Pittsburgh          	 7	LA Rams             	10
11/12/1978	Miami               	25	Buffalo             	24
11/12/1978	Chicago             	14	Minnesota           	17
11/12/1978	NY Jets             	 9	Philadelphia        	17
11/12/1978	Kansas City         	23	San Diego           	29
11/12/1978	St Louis            	16	San Francisco       	10
11/12/1978	NY Giants           	13	Washington          	16
11/13/1978	Oakland             	34	Cincinnati          	21
11/19/1978	Atlanta             	 7	Chicago             	13
11/19/1978	Cleveland           	45	Baltimore           	24
11/19/1978	New Orleans         	 7	Dallas              	27
11/19/1978	Green Bay           	 3	Denver              	16
11/19/1978	LA Rams             	31	San Francisco       	28
11/19/1978	New England         	19	NY Jets             	17
11/19/1978	Detroit             	17	Oakland             	29
11/19/1978	Philadelphia        	19	NY Giants           	17
11/19/1978	Cincinnati          	 6	Pittsburgh          	 7
11/19/1978	San Diego           	13	Minnesota           	 7
11/19/1978	Seattle             	13	Kansas City         	10
11/19/1978	St Louis            	27	Washington          	17
11/19/1978	Buffalo             	10	Tampa Bay           	31
11/20/1978	Miami               	30	Houston             	35
11/23/1978	Washington          	10	Dallas              	37
11/23/1978	Denver              	14	Detroit             	17
11/26/1978	New Orleans         	17	Atlanta             	20
11/26/1978	NY Giants           	17	Buffalo             	41
11/26/1978	Tampa Bay           	 3	Chicago             	14
11/26/1978	LA Rams             	19	Cleveland           	30
11/26/1978	Cincinnati          	10	Houston             	17
11/26/1978	San Diego           	 0	Kansas City         	23
11/26/1978	Minnesota           	10	Green Bay           	10
11/26/1978	New England         	35	Baltimore           	14
11/26/1978	NY Jets             	24	Miami               	13
11/26/1978	Philadelphia        	14	St Louis            	10
11/26/1978	Seattle             	17	Oakland             	16
11/27/1978	Pittsburgh          	24	San Francisco       	 7
12/03/1978	Atlanta             	 7	Cincinnati          	37
12/03/1978	New England         	10	Dallas              	17
12/03/1978	Denver              	21	Oakland             	 6
12/03/1978	Green Bay           	17	Tampa Bay           	 7
12/03/1978	Buffalo             	10	Kansas City         	14
12/03/1978	LA Rams             	20	NY Giants           	17
12/03/1978	Miami               	16	Washington          	 0
12/03/1978	Philadelphia        	27	Minnesota           	28
12/03/1978	San Francisco       	13	New Orleans         	24
12/03/1978	Baltimore           	16	NY Jets             	24
12/03/1978	Pittsburgh          	13	Houston             	 3
12/03/1978	Cleveland           	24	Seattle             	47
12/03/1978	Detroit             	14	St Louis            	21
12/04/1978	Chicago             	 7	San Diego           	40
12/09/1978	Minnesota           	14	Detroit             	45
12/09/1978	Baltimore           	13	Pittsburgh          	35
12/10/1978	Washington          	17	Atlanta             	20
12/10/1978	Green Bay           	 0	Chicago             	14
12/10/1978	NY Jets             	34	Cleveland           	37
12/10/1978	Dallas              	31	Philadelphia        	13
