11/14/1976	Denver              	17	San Diego           	 0
11/14/1976	Seattle             	21	Minnesota           	27
11/14/1976	New England         	21	Baltimore           	14
11/14/1976	Detroit             	16	New Orleans         	17
11/14/1976	Washington          	 9	NY Giants           	12
11/14/1976	Tampa Bay           	 0	NY Jets             	34
11/14/1976	Kansas City         	10	Oakland             	21
11/14/1976	Miami               	 3	Pittsburgh          	14
11/14/1976	St Louis            	30	LA Rams             	28
11/15/1976	Buffalo             	10	Dallas              	17
11/21/1976	Dallas              	10	Atlanta             	17
11/21/1976	Cincinnati          	27	Kansas City         	24
11/21/1976	Cleveland           	24	Tampa Bay           	 7
11/21/1976	NY Giants           	13	Denver              	14
11/21/1976	Chicago             	10	Detroit             	14
11/21/1976	LA Rams             	23	San Francisco       	 3
11/21/1976	Minnesota           	17	Green Bay           	10
11/21/1976	New England         	38	NY Jets             	24
11/21/1976	New Orleans         	51	Seattle             	27
11/21/1976	Oakland             	26	Philadelphia        	 7
11/21/1976	Houston             	16	Pittsburgh          	32
11/21/1976	San Diego           	34	Buffalo             	13
11/21/1976	Washington          	16	St Louis            	10
11/22/1976	Baltimore           	17	Miami               	16
11/25/1976	St Louis            	14	Dallas              	19
11/25/1976	Buffalo             	14	Detroit             	27
11/28/1976	NY Jets             	16	Baltimore           	33
11/28/1976	Chicago             	16	Green Bay           	10
11/28/1976	Miami               	13	Cleveland           	17
11/28/1976	Atlanta             	14	Houston             	20
11/28/1976	Kansas City         	23	San Diego           	20
11/28/1976	New Orleans         	14	LA Rams             	33
11/28/1976	Denver              	14	New England         	38
11/28/1976	Seattle             	16	NY Giants           	28
11/28/1976	Tampa Bay           	16	Oakland             	49
11/28/1976	Pittsburgh          	 7	Cincinnati          	 3
11/28/1976	Philadelphia        	 0	Washington          	24
11/29/1976	Minnesota           	16	San Francisco       	20
12/04/1976	Atlanta             	 0	LA Rams             	59
12/04/1976	Baltimore           	17	St Louis            	24
12/05/1976	Chicago             	34	Seattle             	 7
12/05/1976	Houston             	10	Cleveland           	13
12/05/1976	Dallas              	26	Philadelphia        	 7
12/05/1976	Kansas City         	16	Denver              	17
12/05/1976	Buffalo             	27	Miami               	45
12/05/1976	Green Bay           	 9	Minnesota           	20
12/05/1976	New Orleans         	 6	New England         	27
12/05/1976	Detroit             	10	NY Giants           	24
12/05/1976	Tampa Bay           	 0	Pittsburgh          	42
12/05/1976	San Francisco       	 7	San Diego           	13
12/05/1976	Washington          	37	NY Jets             	16
12/06/1976	Cincinnati          	20	Oakland             	35
12/11/1976	LA Rams             	20	Detroit             	17
12/11/1976	Minnesota           	29	Miami               	 7
12/11/1976	Pittsburgh          	21	Houston             	 0
12/12/1976	Buffalo             	20	Baltimore           	58
12/12/1976	Cincinnati          	42	NY Jets             	 3
12/12/1976	Denver              	28	Chicago             	14
12/12/1976	Green Bay           	24	Atlanta             	20
12/12/1976	Cleveland           	14	Kansas City         	39
12/12/1976	New England         	31	Tampa Bay           	14
12/12/1976	San Diego           	 0	Oakland             	24
12/12/1976	Seattle             	10	Philadelphia        	27
12/12/1976	San Francisco       	27	New Orleans         	 7
12/12/1976	St Louis            	17	NY Giants           	14
12/12/1976	Washington          	27	Dallas              	14
12/18/1976	Washington          	20	Minnesota           	35
12/18/1976	New England         	21	Oakland             	24
12/19/1976	LA Rams             	14	Dallas              	12
12/19/1976	Pittsburgh          	40	Baltimore           	14
12/26/1976	LA Rams             	13	Minnesota           	24
12/26/1976	Pittsburgh          	 7	Oakland             	24
01/09/1977	Minnesota           	14	Oakland             	32	n
