12/13/1987	LA Raiders          	10	Kansas City         	16
12/13/1987	Atlanta             	 0	LA Rams             	33
12/13/1987	Miami               	28	Philadelphia        	10
12/13/1987	NY Jets             	20	New England         	42
12/13/1987	Houston             	10	New Orleans         	24
12/13/1987	Pittsburgh          	20	San Diego           	16
12/13/1987	NY Giants           	24	St Louis            	27
12/13/1987	Denver              	21	Seattle             	28
12/13/1987	Dallas              	20	Washington          	24
12/14/1987	Chicago             	 0	San Francisco       	41
12/19/1987	Kansas City         	17	Denver              	20
12/19/1987	Green Bay           	10	NY Giants           	20
12/20/1987	Cleveland           	24	LA Raiders          	17
12/20/1987	Pittsburgh          	16	Houston             	24
12/20/1987	Indianapolis        	20	San Diego           	 7
12/20/1987	Washington          	21	Miami               	23
12/20/1987	Minnesota           	17	Detroit             	14
12/20/1987	New England         	13	Buffalo             	 7
12/20/1987	New Orleans         	41	Cincinnati          	24
12/20/1987	Philadelphia        	38	NY Jets             	27
12/20/1987	St Louis            	31	Tampa Bay           	14
12/20/1987	San Francisco       	35	Atlanta             	 7
12/20/1987	Seattle             	34	Chicago             	21
12/21/1987	Dallas              	29	LA Rams             	21
12/26/1987	Cleveland           	19	Pittsburgh          	13
12/26/1987	Washington          	27	Minnesota           	24
12/27/1987	Chicago             	 6	LA Raiders          	 3
12/27/1987	St Louis            	16	Dallas              	21
12/27/1987	San Diego           	 0	Denver              	24
12/27/1987	Detroit             	30	Atlanta             	13
12/27/1987	Cincinnati          	17	Houston             	21
12/27/1987	Tampa Bay           	 6	Indianapolis        	24
12/27/1987	Seattle             	20	Kansas City         	41
12/27/1987	Green Bay           	24	New Orleans         	33
12/27/1987	NY Jets             	 7	NY Giants           	20
12/27/1987	Buffalo             	 7	Philadelphia        	17
12/27/1987	LA Rams             	 0	San Francisco       	48
12/28/1987	New England         	24	Miami               	10
01/03/1988	Seattle             	20	Houston             	23
01/03/1988	Minnesota           	44	New Orleans         	10
01/09/1988	Indianapolis        	21	Cleveland           	38
01/09/1988	Minnesota           	36	San Francisco       	24
01/10/1988	Houston             	10	Denver              	34
01/10/1988	Washington          	21	Chicago             	17
01/17/1988	Cleveland           	33	Denver              	38
01/17/1988	Minnesota           	10	Washington          	17
01/31/1988	Washington          	42	Denver              	10	0
