11/24/1974	Kansas City         	 6	Cincinnati          	33
11/24/1974	Dallas              	10	Houston             	 0
11/24/1974	Denver              	20	Oakland             	17
11/24/1974	Chicago             	17	Detroit             	34
11/24/1974	San Diego           	 0	Green Bay           	34
11/24/1974	Minnesota           	17	LA Rams             	20
11/24/1974	New England         	27	Baltimore           	17
11/24/1974	Miami               	14	NY Jets             	17
11/24/1974	Atlanta             	 0	San Francisco       	27
11/24/1974	St Louis            	23	NY Giants           	21
11/24/1974	Philadelphia        	 7	Washington          	26
11/25/1974	Pittsburgh          	28	New Orleans         	 7
11/28/1974	Washington          	23	Dallas              	24
11/28/1974	Denver              	31	Detroit             	27
12/01/1974	Baltimore           	 0	Buffalo             	 6
12/01/1974	NY Giants           	13	Chicago             	16
12/01/1974	San Francisco       	 0	Cleveland           	 7
12/01/1974	Houston             	13	Pittsburgh          	10
12/01/1974	Kansas City         	17	St Louis            	13
12/01/1974	LA Rams             	30	Atlanta             	 7
12/01/1974	New Orleans         	 9	Minnesota           	29
12/01/1974	San Diego           	14	NY Jets             	27
12/01/1974	New England         	26	Oakland             	41
12/01/1974	Green Bay           	14	Philadelphia        	36
12/02/1974	Cincinnati          	 3	Miami               	24
12/07/1974	Cleveland           	17	Dallas              	41
12/07/1974	Atlanta             	10	Minnesota           	23
12/08/1974	Houston             	14	Denver              	37
12/08/1974	Detroit             	37	Cincinnati          	14
12/08/1974	Miami               	17	Baltimore           	16
12/08/1974	St Louis            	10	New Orleans         	14
12/08/1974	Buffalo             	10	NY Jets             	20
12/08/1974	Oakland             	 7	Kansas City         	 6
12/08/1974	Philadelphia        	20	NY Giants           	 7
12/08/1974	Pittsburgh          	21	New England         	17
12/08/1974	Chicago             	21	San Diego           	28
12/08/1974	Green Bay           	 6	San Francisco       	 7
12/09/1974	Washington          	23	LA Rams             	17
12/14/1974	Minnesota           	35	Kansas City         	15
12/14/1974	Dallas              	23	Oakland             	27
12/14/1974	Cincinnati          	 3	Pittsburgh          	27
12/15/1974	Green Bay           	 3	Atlanta             	10
12/15/1974	Cleveland           	24	Houston             	28
12/15/1974	Buffalo             	14	LA Rams             	19
12/15/1974	New England         	27	Miami               	34
12/15/1974	NY Jets             	45	Baltimore           	38
12/15/1974	Detroit             	17	Philadelphia        	28
12/15/1974	Denver              	 0	San Diego           	17
12/15/1974	New Orleans         	 2	San Francisco       	35
12/15/1974	NY Giants           	14	St Louis            	26
12/15/1974	Chicago             	 0	Washington          	42
12/21/1974	St Louis            	14	Minnesota           	30
12/21/1974	Miami               	26	Oakland             	28
12/22/1974	Washington          	10	LA Rams             	19
12/22/1974	Buffalo             	14	Pittsburgh          	32
12/29/1974	LA Rams             	10	Minnesota           	14
12/29/1974	Pittsburgh          	24	Oakland             	13
01/12/1975	Pittsburgh          	16	Minnesota           	 6	n
