11/09/1980	San Francisco       	16	Green Bay           	23
11/09/1980	Kansas City         	31	Seattle             	30
11/09/1980	Miami               	35	LA Rams             	14
11/09/1980	Detroit             	 0	Minnesota           	34
11/09/1980	Dallas              	35	NY Giants           	38
11/09/1980	Cincinnati          	17	Oakland             	28
11/09/1980	Philadelphia        	34	New Orleans         	21
11/09/1980	Pittsburgh          	24	Tampa Bay           	21
11/10/1980	New England         	34	Houston             	38
11/16/1980	New Orleans         	13	Atlanta             	31
11/16/1980	Baltimore           	10	Detroit             	 9
11/16/1980	Buffalo             	14	Cincinnati          	 0
11/16/1980	St Louis            	21	Dallas              	31
11/16/1980	NY Jets             	24	Denver              	31
11/16/1980	Houston             	10	Chicago             	 6
11/16/1980	LA Rams             	17	New England         	14
11/16/1980	San Francisco       	13	Miami               	17
11/16/1980	Tampa Bay           	30	Minnesota           	38
11/16/1980	Green Bay           	21	NY Giants           	27
11/16/1980	Philadelphia        	24	Washington          	 0
11/16/1980	Cleveland           	13	Pittsburgh          	16
11/16/1980	Kansas City         	 7	San Diego           	20
11/17/1980	Oakland             	19	Seattle             	17
11/20/1980	San Diego           	27	Miami               	24
11/23/1980	Chicago             	17	Atlanta             	28
11/23/1980	Pittsburgh          	13	Buffalo             	28
11/23/1980	Cincinnati          	 7	Cleveland           	31
11/23/1980	Washington          	10	Dallas              	14
11/23/1980	Seattle             	20	Denver              	36
11/23/1980	Detroit             	24	Tampa Bay           	10
11/23/1980	Green Bay           	25	Minnesota           	13
11/23/1980	Kansas City         	21	St Louis            	13
11/23/1980	Baltimore           	21	New England         	47
11/23/1980	Houston             	28	NY Jets             	31
11/23/1980	Oakland             	 7	Philadelphia        	10
11/23/1980	NY Giants           	 0	San Francisco       	12
11/24/1980	LA Rams             	27	New Orleans         	 7
11/27/1980	Chicago             	23	Detroit             	17
11/27/1980	Seattle             	 7	Dallas              	51
11/30/1980	Washington          	 6	Atlanta             	10
11/30/1980	Buffalo             	24	Baltimore           	28
11/30/1980	Cincinnati          	20	Kansas City         	 6
11/30/1980	Cleveland           	17	Houston             	14
11/30/1980	NY Jets             	13	LA Rams             	38
11/30/1980	Minnesota           	23	New Orleans         	20
11/30/1980	Miami               	10	Pittsburgh          	23
11/30/1980	Philadelphia        	21	San Diego           	22
11/30/1980	New England         	17	San Francisco       	21
11/30/1980	St Louis            	23	NY Giants           	 7
11/30/1980	Tampa Bay           	20	Green Bay           	17
12/01/1980	Denver              	 3	Oakland             	 9
12/04/1980	Pittsburgh          	 0	Houston             	 6
12/07/1980	Atlanta             	20	Philadelphia        	17
12/07/1980	LA Rams             	 7	Buffalo             	10
12/07/1980	Green Bay           	 7	Chicago             	61
12/07/1980	Baltimore           	33	Cincinnati          	34
12/07/1980	NY Jets             	14	Cleveland           	17
12/07/1980	Dallas              	19	Oakland             	13
12/07/1980	Denver              	14	Kansas City         	31
12/07/1980	Minnesota           	21	Tampa Bay           	10
12/07/1980	NY Giants           	27	Seattle             	21
12/07/1980	New Orleans         	35	San Francisco       	38
12/07/1980	Detroit             	23	St Louis            	24
12/07/1980	San Diego           	17	Washington          	40
12/08/1980	New England         	13	Miami               	16
12/13/1980	Seattle             	14	San Diego           	21
12/13/1980	NY Giants           	13	Washington          	16
12/14/1980	San Francisco       	10	Atlanta             	35
12/14/1980	Cincinnati          	17	Chicago             	14
12/14/1980	Tampa Bay           	14	Detroit             	27
12/14/1980	Houston             	22	Green Bay           	 3
12/14/1980	Miami               	24	Baltimore           	14
12/14/1980	Cleveland           	23	Minnesota           	28
12/14/1980	Buffalo             	 2	New England         	24
12/14/1980	New Orleans         	21	NY Jets             	20
12/14/1980	Oakland             	24	Denver              	21
12/14/1980	St Louis            	 3	Philadelphia        	17
12/14/1980	Kansas City         	16	Pittsburgh          	21
12/15/1980	Dallas              	14	LA Rams             	38
12/20/1980	Chicago             	14	Tampa Bay           	13
12/20/1980	NY Jets             	24	Miami               	17
12/21/1980	Buffalo             	18	San Francisco       	13
12/21/1980	Cleveland           	27	Cincinnati          	24
12/21/1980	Philadelphia        	27	Dallas              	35
12/21/1980	Denver              	25	Seattle             	17
12/21/1980	Green Bay           	 3	Detroit             	24
12/21/1980	Minnesota           	16	Houston             	20
12/21/1980	Kansas City         	38	Baltimore           	28
12/21/1980	Atlanta             	17	LA Rams             	20
12/21/1980	New England         	38	New Orleans         	27
12/21/1980	Oakland             	33	NY Giants           	17
12/21/1980	Washington          	31	St Louis            	 7
12/22/1980	Pittsburgh          	17	San Diego           	26
12/28/1980	LA Rams             	13	Dallas              	34
12/28/1980	Houston             	 7	Oakland             	27
01/03/1981	Minnesota           	16	Philadelphia        	31
01/03/1981	Buffalo             	14	San Diego           	20
01/04/1981	Dallas              	30	Atlanta             	27
01/04/1981	Oakland             	14	Cleveland           	12
01/11/1981	Oakland             	34	San Diego           	27
01/11/1981	Dallas              	 7	Philadelphia        	20
01/25/1981	Oakland             	27	Philadelphia        	10	0
