11/10/2002    New York Giants 27  Minnesota       20  1
11/10/2002    Cincinnati      27  Baltimore       38  1
11/10/2002    Atlanta         34  Pittsburgh      34  1
11/10/2002    Detroit         14  Green Bay       40  1
11/10/2002    Houston         10  Tennessee       17  1
11/10/2002    Indianapolis    35  Philadelphia    13  1
11/10/2002    New Orleans     34  Carolina        24  1
11/10/2002    Kansas City     13  San Francisco   17  1
11/10/2002    Washington       7  Jacksonville    26  1
11/10/2002    Seattle         27  Arizona          6  1
11/10/2002    Miami           10  New York Jets   13  1
11/10/2002    New England     33  Chicago         30  1
11/11/2002    Oakland         34  Denver          10  1
11/17/2002    Jacksonville    24  Houston         21  1
11/17/2002    Washington      17  New York Giants 19  1
11/17/2002    Dallas           3  Indianapolis    20  1
11/17/2002    Carolina        10  Tampa Bay       23  1
11/17/2002    Pittsburgh      23  Tennessee       31  1
11/17/2002    Green Bay       21  Minnesota       31  1
11/17/2002    Cleveland       27  Cincinnati      20  1
11/17/2002    San Francisco   17  San Diego       20  1
11/17/2002    Arizona         14  Philadelphia    38  1
11/17/2002    Buffalo         16  Kansas City     17  1
11/17/2002    New Orleans     17  Atlanta         24  1
11/17/2002    Denver          31  Seattle          9  1
11/17/2002    New York Jets   31  Detroit         14  1
11/17/2002    Baltimore        7  Miami           26  1
11/17/2002    New England     20  Oakland         27  1
11/18/2002    Chicago         16  St. Louis       21  1
11/24/2002    Buffalo         13  New York Jets   31  1
11/24/2002    San Diego        3  Miami           30  1
11/24/2002    St. Louis       17  Washington      20  1
11/24/2002    Cleveland       24  New Orleans     15  1
11/24/2002    Jacksonville    19  Dallas          21  1
11/24/2002    Cincinnati      21  Pittsburgh      29  1
11/24/2002    Minnesota       17  New England     24  1
11/24/2002    Atlanta         41  Carolina         0  1
11/24/2002    Tennessee       12  Baltimore       13  1
11/24/2002    Detroit         17  Chicago         20  1
11/24/2002    Kansas City     32  Seattle         39  1
11/24/2002    Oakland         41  Arizona         20  1
11/24/2002    New York Giants 14  Houston         16  1
11/24/2002    Green Bay        7  Tampa Bay       21  1
11/24/2002    Indianapolis    23  Denver          20  1
11/25/2002    Philadelphia    38  San Francisco   17  1
11/28/2002    New England     20  Detroit         12  1
11/28/2002    Washington      20  Dallas          27  1
12/01/2002    Carolina        13  Cleveland        6  1
12/01/2002    Chicago         20  Green Bay       30  1
12/01/2002    Arizona          0  Kansas City     49  1
12/01/2002    Baltimore       27  Cincinnati      23  1
12/01/2002    Pittsburgh      25  Jacksonville    23  1
12/01/2002    Miami           21  Buffalo         38  1
12/01/2002    Atlanta         30  Minnesota       24  1
12/01/2002    Tennessee       32  New York Giants 29  1
12/01/2002    Denver          27  San Diego       30  1
12/01/2002    Seattle         24  San Francisco   31  1
12/01/2002    Houston          3  Indianapolis    19  1
12/01/2002    St. Louis        3  Philadelphia    10  1
12/01/2002    Tampa Bay       20  New Orleans     23  1
12/02/2002    New York Jets   20  Oakland         26  1
12/08/2002    Atlanta         10  Tampa Bay       34  1
12/08/2002    St. Louis       10  Kansas City     49  1
12/08/2002    Cincinnati      31  Carolina        52  1
12/08/2002    Detroit         20  Arizona         23  1
12/08/2002    New York Giants 27  Washington      21  1
12/08/2002    Houston         24  Pittsburgh       6  1
