11/20/1977	Cleveland           	21	NY Giants           	 7
11/20/1977	Denver              	14	Kansas City         	 7
11/20/1977	Tampa Bay           	 7	Detroit             	16
11/20/1977	Houston             	22	Seattle             	10
11/20/1977	LA Rams             	23	San Francisco       	10
11/20/1977	New England         	20	Buffalo             	 7
11/20/1977	Atlanta             	20	New Orleans         	21
11/20/1977	Dallas              	13	Pittsburgh          	28
11/20/1977	Oakland             	 7	San Diego           	12
11/20/1977	Philadelphia        	16	St Louis            	21
11/21/1977	Green Bay           	 9	Washington          	10
11/24/1977	Chicago             	31	Detroit             	14
11/24/1977	Miami               	55	St Louis            	14
11/27/1977	Atlanta             	17	Tampa Bay           	 0
11/27/1977	NY Giants           	13	Cincinnati          	30
11/27/1977	Dallas              	14	Washington          	 7
11/27/1977	Baltimore           	13	Denver              	27
11/27/1977	Kansas City         	20	Houston             	34
11/27/1977	LA Rams             	 9	Cleveland           	 0
11/27/1977	Minnesota           	13	Green Bay           	 6
11/27/1977	Philadelphia        	 6	New England         	14
11/27/1977	Pittsburgh          	23	NY Jets             	20
11/27/1977	San Diego           	30	Seattle             	28
11/27/1977	New Orleans         	17	San Francisco       	20
11/28/1977	Buffalo             	13	Oakland             	34
12/04/1977	Chicago             	10	Tampa Bay           	 0
12/04/1977	Cincinnati          	27	Kansas City         	 7
12/04/1977	Philadelphia        	14	Dallas              	24
12/04/1977	Denver              	24	Houston             	14
12/04/1977	Detroit             	 9	Green Bay           	10
12/04/1977	Oakland             	14	LA Rams             	20
12/04/1977	San Francisco       	27	Minnesota           	28
12/04/1977	New England         	16	Atlanta             	10
12/04/1977	St Louis            	 7	NY Giants           	27
12/04/1977	NY Jets             	16	New Orleans         	13
12/04/1977	Seattle             	20	Pittsburgh          	30
12/04/1977	Cleveland           	14	San Diego           	37
12/04/1977	Washington          	10	Buffalo             	 0
12/05/1977	Baltimore           	 6	Miami               	17
12/10/1977	Pittsburgh          	10	Cincinnati          	17
12/10/1977	Washington          	26	St Louis            	20
12/11/1977	Buffalo             	14	NY Jets             	10
12/11/1977	Green Bay           	10	Chicago             	21
12/11/1977	San Diego           	 9	Denver              	17
12/11/1977	Detroit             	13	Baltimore           	10
12/11/1977	Houston             	19	Cleveland           	15
12/11/1977	Atlanta             	 7	LA Rams             	23
12/11/1977	Miami               	10	New England         	14
12/11/1977	Minnesota           	13	Oakland             	35
12/11/1977	NY Giants           	14	Philadelphia        	17
12/11/1977	Seattle             	34	Kansas City         	31
12/11/1977	Tampa Bay           	33	New Orleans         	14
12/12/1977	Dallas              	42	San Francisco       	35
