11/12/1989	Denver              	16	Kansas City         	13
11/12/1989	Green Bay           	22	Detroit             	31
11/12/1989	NY Giants           	10	LA Rams             	31
11/12/1989	Miami               	31	NY Jets             	23
11/12/1989	Minnesota           	24	Tampa Bay           	10
11/12/1989	New Orleans         	28	New England         	24
11/12/1989	Dallas              	20	Phoenix             	24
11/12/1989	San Diego           	14	LA Raiders          	12
11/12/1989	Atlanta             	 3	San Francisco       	45
11/12/1989	Washington          	10	Philadelphia        	 3
11/13/1989	Cincinnati          	24	Houston             	26
11/19/1989	Detroit             	 7	Cincinnati          	42
11/19/1989	Green Bay           	21	San Francisco       	17
11/19/1989	LA Raiders          	 7	Houston             	23
11/19/1989	NY Jets             	10	Indianapolis        	27
11/19/1989	Kansas City         	10	Cleveland           	10
11/19/1989	Phoenix             	14	LA Rams             	37
11/19/1989	Miami               	17	Dallas              	14
11/19/1989	Buffalo             	24	New England         	33
11/19/1989	New Orleans         	26	Atlanta             	17
11/19/1989	Seattle             	 3	NY Giants           	15
11/19/1989	Minnesota           	 9	Philadelphia        	10
11/19/1989	San Diego           	17	Pittsburgh          	20
11/19/1989	Tampa Bay           	32	Chicago             	31
11/20/1989	Denver              	14	Washington          	10
11/23/1989	Cleveland           	10	Detroit             	13
11/23/1989	Philadelphia        	27	Dallas              	 0
11/26/1989	Cincinnati          	 7	Buffalo             	24
11/26/1989	Seattle             	14	Denver              	41
11/26/1989	Minnesota           	19	Green Bay           	20
11/26/1989	San Diego           	 6	Indianapolis        	10
11/26/1989	Houston             	 0	Kansas City         	34
11/26/1989	New England         	21	LA Raiders          	24
11/26/1989	LA Rams             	20	New Orleans         	17
11/26/1989	Atlanta             	 7	NY Jets             	27
11/26/1989	Pittsburgh          	34	Miami               	14
11/26/1989	Tampa Bay           	14	Phoenix             	13
11/26/1989	Chicago             	14	Washington          	38
11/27/1989	NY Giants           	24	San Francisco       	34
12/03/1989	Cincinnati          	21	Cleveland           	 0
12/03/1989	New Orleans         	14	Detroit             	21
12/03/1989	Green Bay           	17	Tampa Bay           	16
12/03/1989	Houston             	23	Pittsburgh          	16
12/03/1989	Miami               	21	Kansas City         	26
12/03/1989	Denver              	13	LA Raiders          	16
12/03/1989	LA Rams             	35	Dallas              	31
12/03/1989	Chicago             	16	Minnesota           	27
12/03/1989	Indianapolis        	16	New England         	22
12/03/1989	NY Jets             	20	San Diego           	17
12/03/1989	Philadelphia        	24	NY Giants           	17
12/03/1989	San Francisco       	23	Atlanta             	10
12/03/1989	Washington          	29	Phoenix             	10
12/04/1989	Buffalo             	16	Seattle             	17
12/10/1989	Detroit             	27	Chicago             	17
12/10/1989	Tampa Bay           	17	Houston             	20
12/10/1989	Cleveland           	17	Indianapolis        	23
12/10/1989	Kansas City         	21	Green Bay           	 3
12/10/1989	Phoenix             	14	LA Raiders          	16
12/10/1989	New England         	10	Miami               	31
12/10/1989	Atlanta             	17	Minnesota           	43
12/10/1989	New Orleans         	22	Buffalo             	19
12/10/1989	NY Giants           	14	Denver              	 7
12/10/1989	Dallas              	10	Philadelphia        	20
12/10/1989	Pittsburgh          	13	NY Jets             	 0
12/10/1989	Seattle             	24	Cincinnati          	17
12/10/1989	San Diego           	21	Washington          	26
12/11/1989	San Francisco       	30	LA Rams             	27
12/16/1989	Denver              	37	Phoenix             	 0
12/16/1989	Dallas              	 0	NY Giants           	15
12/17/1989	Houston             	 7	Cincinnati          	61
12/17/1989	Minnesota           	17	Cleveland           	23
12/17/1989	Tampa Bay           	 7	Detroit             	33
12/17/1989	Green Bay           	40	Chicago             	28
12/17/1989	Miami               	13	Indianapolis        	42
12/17/1989	NY Jets             	14	LA Rams             	38
12/17/1989	New England         	10	Pittsburgh          	28
12/17/1989	San Diego           	20	Kansas City         	13
12/17/1989	Buffalo             	10	San Francisco       	21
12/17/1989	LA Raiders          	17	Seattle             	23
12/17/1989	Washington          	31	Atlanta             	30
12/18/1989	Philadelphia        	20	New Orleans         	30
12/23/1989	Buffalo             	37	NY Jets             	 0
12/23/1989	Cleveland           	24	Houston             	20
12/23/1989	Washington          	29	Seattle             	 0
12/24/1989	Detroit             	31	Atlanta             	24
12/24/1989	Green Bay           	20	Dallas              	10
12/24/1989	Kansas City         	27	Miami               	24
12/24/1989	LA Rams             	24	New England         	20
12/24/1989	New Orleans         	41	Indianapolis        	 6
12/24/1989	LA Raiders          	17	NY Giants           	34
12/24/1989	Phoenix             	14	Philadelphia        	31
12/24/1989	Pittsburgh          	31	Tampa Bay           	22
12/24/1989	Denver              	16	San Diego           	19
12/24/1989	Chicago             	 0	San Francisco       	26
12/25/1989	Cincinnati          	21	Minnesota           	29
12/31/1989	LA Rams             	21	Philadelphia        	 7
12/31/1989	Pittsburgh          	26	Houston             	23
01/06/1990	Buffalo             	30	Cleveland           	34
01/06/1990	Minnesota           	13	San Francisco       	41
01/07/1990	Pittsburgh          	23	Denver              	24
01/07/1990	LA Rams             	19	NY Giants           	13
01/14/1990	Cleveland           	21	Denver              	37
01/14/1990	LA Rams             	 3	San Francisco       	30
01/28/1990	San Francisco       	55	Denver              	10	0
