11/25/1971	Kansas City         	21	Detroit             	32
11/28/1971	Baltimore           	37	Oakland             	14
11/28/1971	New England         	20	Buffalo             	27
11/28/1971	San Diego           	 0	Cincinnati          	31
11/28/1971	Cleveland           	37	Houston             	24
11/28/1971	Denver              	22	Pittsburgh          	10
11/28/1971	Atlanta             	 7	Minnesota           	24
11/28/1971	New Orleans         	29	Green Bay           	21
11/28/1971	San Francisco       	24	NY Jets             	21
11/28/1971	St Louis            	24	NY Giants           	 7
11/28/1971	Washington          	20	Philadelphia        	13
11/29/1971	Chicago             	 3	Miami               	34
12/04/1971	NY Jets             	10	Dallas              	52
12/05/1971	Oakland             	13	Atlanta             	24
12/05/1971	Buffalo             	 0	Baltimore           	24
12/05/1971	Cincinnati          	27	Cleveland           	31
12/05/1971	Chicago             	 3	Denver              	 6
12/05/1971	Green Bay           	16	St Louis            	16
12/05/1971	Pittsburgh          	 3	Houston             	29
12/05/1971	New Orleans         	28	LA Rams             	45
12/05/1971	Miami               	13	New England         	34
12/05/1971	Philadelphia        	23	Detroit             	20
12/05/1971	Minnesota           	14	San Diego           	30
12/05/1971	NY Giants           	 7	Washington          	23
12/06/1971	Kansas City         	26	San Francisco       	17
12/11/1971	Baltimore           	14	Miami               	 3
12/11/1971	Detroit             	10	Minnesota           	29
12/12/1971	Cleveland           	21	New Orleans         	17
12/12/1971	Dallas              	42	NY Giants           	14
12/12/1971	Chicago             	10	Green Bay           	31
12/12/1971	Houston             	20	Buffalo             	14
12/12/1971	Oakland             	14	Kansas City         	16
12/12/1971	New England         	 6	NY Jets             	13
12/12/1971	St Louis            	 7	Philadelphia        	19
12/12/1971	Pittsburgh          	21	Cincinnati          	13
12/12/1971	Denver              	17	San Diego           	45
12/12/1971	Atlanta             	 3	San Francisco       	24
12/13/1971	Washington          	38	LA Rams             	24
12/18/1971	St Louis            	12	Dallas              	31
12/19/1971	Atlanta             	24	New Orleans         	20
12/19/1971	Cleveland           	20	Washington          	13
12/19/1971	San Diego           	33	Houston             	49
12/19/1971	Buffalo             	 9	Kansas City         	22
12/19/1971	LA Rams             	23	Pittsburgh          	14
12/19/1971	Green Bay           	 6	Miami               	27
12/19/1971	Minnesota           	27	Chicago             	10
12/19/1971	New England         	21	Baltimore           	17
12/19/1971	Cincinnati          	21	NY Jets             	35
12/19/1971	Oakland             	21	Denver              	13
12/19/1971	Philadelphia        	41	NY Giants           	28
12/19/1971	Detroit             	27	San Francisco       	31
12/25/1971	Dallas              	20	Minnesota           	12
12/25/1971	Miami               	27	Kansas City         	24
12/26/1971	Baltimore           	20	Cleveland           	 3
12/26/1971	Washington          	20	San Francisco       	24
01/02/1972	San Francisco       	 3	Dallas              	14
01/02/1972	Baltimore           	 0	Miami               	21
01/16/1972	Dallas              	24	Miami               	 3	n
