11/10/1991	Indianapolis        	28	NY Jets             	27
11/10/1991	Kansas City         	27	LA Rams             	20
11/10/1991	LA Raiders          	17	Denver              	16
11/10/1991	New England         	20	Miami               	30
11/10/1991	San Francisco       	 3	New Orleans         	10
11/10/1991	NY Giants           	21	Phoenix             	14
11/10/1991	Philadelphia        	32	Cleveland           	30
11/10/1991	Pittsburgh          	33	Cincinnati          	27
11/10/1991	Seattle             	14	San Diego           	17
11/10/1991	Detroit             	21	Tampa Bay           	30
11/10/1991	Atlanta             	17	Washington          	56
11/11/1991	Chicago             	34	Minnesota           	17
11/17/1991	Tampa Bay           	 7	Atlanta             	43
11/17/1991	Chicago             	31	Indianapolis        	17
11/17/1991	Denver              	24	Kansas City         	20
11/17/1991	LA Rams             	10	Detroit             	21
11/17/1991	Cleveland           	24	Houston             	28
11/17/1991	Seattle             	 7	LA Raiders          	31
11/17/1991	Minnesota           	35	Green Bay           	21
11/17/1991	Dallas              	 9	NY Giants           	22
11/17/1991	NY Jets             	28	New England         	21
11/17/1991	Cincinnati          	10	Philadelphia        	17
11/17/1991	New Orleans         	21	San Diego           	24
11/17/1991	Phoenix             	10	San Francisco       	14
11/17/1991	Washington          	41	Pittsburgh          	14
11/18/1991	Buffalo             	41	Miami               	27
11/24/1991	Atlanta             	23	New Orleans         	20
11/24/1991	Kansas City         	15	Cleveland           	20
11/24/1991	Dallas              	24	Washington          	21
11/24/1991	Detroit             	34	Minnesota           	14
11/24/1991	Indianapolis        	10	Green Bay           	14
11/24/1991	LA Raiders          	38	Cincinnati          	14
11/24/1991	Miami               	16	Chicago             	13
11/24/1991	Buffalo             	13	New England         	16
11/24/1991	NY Giants           	21	Tampa Bay           	14
11/24/1991	San Diego           	 3	NY Jets             	24
11/24/1991	Philadelphia        	34	Phoenix             	14
11/24/1991	Houston             	14	Pittsburgh          	26
11/24/1991	Denver              	10	Seattle             	13
11/25/1991	San Francisco       	33	LA Rams             	10
11/28/1991	Pittsburgh          	10	Dallas              	20
11/28/1991	Chicago             	 6	Detroit             	16
12/01/1991	Green Bay           	31	Atlanta             	35
12/01/1991	NY Jets             	13	Buffalo             	24
12/01/1991	NY Giants           	24	Cincinnati          	27
12/01/1991	Cleveland           	31	Indianapolis        	 0
12/01/1991	New England         	 3	Denver              	20
12/01/1991	Kansas City         	19	Seattle             	 6
12/01/1991	LA Raiders          	 9	San Diego           	 7
12/01/1991	Tampa Bay           	14	Miami               	33
12/01/1991	New Orleans         	24	San Francisco       	38
12/01/1991	Washington          	27	LA Rams             	 6
12/02/1991	Philadelphia        	13	Houston             	 6
12/08/1991	Atlanta             	31	LA Rams             	14
12/08/1991	Buffalo             	30	LA Raiders          	27
12/08/1991	Green Bay           	13	Chicago             	27
12/08/1991	New Orleans         	14	Dallas              	23
12/08/1991	Denver              	17	Cleveland           	 7
12/08/1991	NY Jets             	20	Detroit             	34
12/08/1991	Pittsburgh          	 6	Houston             	31
12/08/1991	San Diego           	17	Kansas City         	20
12/08/1991	Minnesota           	26	Tampa Bay           	24
12/08/1991	Indianapolis        	17	New England         	23
12/08/1991	Philadelphia        	19	NY Giants           	14
12/08/1991	San Francisco       	24	Seattle             	22
12/08/1991	Washington          	20	Phoenix             	14
