11/23/1972	San Francisco       	31	Dallas              	10
11/26/1972	Denver              	20	Atlanta             	23
11/26/1972	New England         	 0	Baltimore           	31
11/26/1972	Cincinnati          	13	Chicago             	 3
11/26/1972	Buffalo             	10	Cleveland           	27
11/26/1972	LA Rams             	16	New Orleans         	19
11/26/1972	Philadelphia        	10	NY Giants           	62
11/26/1972	Kansas City         	 3	Oakland             	26
11/26/1972	Minnesota           	10	Pittsburgh          	23
11/26/1972	Houston             	20	San Diego           	34
11/26/1972	Green Bay           	16	Washington          	21
11/27/1972	St Louis            	10	Miami               	31
12/03/1972	Houston             	10	Atlanta             	20
12/03/1972	Buffalo             	 7	Baltimore           	35
12/03/1972	NY Giants           	10	Cincinnati          	13
12/03/1972	Dallas              	27	St Louis            	 6
12/03/1972	Detroit             	 7	Green Bay           	33
12/03/1972	Denver              	21	Kansas City         	24
12/03/1972	Miami               	37	New England         	21
12/03/1972	Chicago             	10	Minnesota           	23
12/03/1972	New Orleans         	17	NY Jets             	18
12/03/1972	Oakland             	21	San Diego           	19
12/03/1972	Cleveland           	 0	Pittsburgh          	30
12/03/1972	Washington          	23	Philadelphia        	 7
12/04/1972	LA Rams             	26	San Francisco       	16
12/09/1972	Cleveland           	27	Cincinnati          	24
12/09/1972	Washington          	24	Dallas              	34
12/10/1972	Chicago             	21	Philadelphia        	12
12/10/1972	San Diego           	13	Denver              	38
12/10/1972	Detroit             	21	Buffalo             	21
12/10/1972	Green Bay           	23	Minnesota           	 7
12/10/1972	Baltimore           	10	Kansas City         	24
12/10/1972	Miami               	23	NY Giants           	13
12/10/1972	New England         	17	New Orleans         	10
12/10/1972	Pittsburgh          	 9	Houston             	 3
12/10/1972	Atlanta             	 0	San Francisco       	20
12/10/1972	LA Rams             	14	St Louis            	24
12/11/1972	NY Jets             	16	Oakland             	24
12/16/1972	Baltimore           	 0	Miami               	16
12/16/1972	Minnesota           	17	San Francisco       	20
12/17/1972	Buffalo             	24	Washington          	17
12/17/1972	Cincinnati          	61	Houston             	17
12/17/1972	Cleveland           	26	NY Jets             	10
12/17/1972	New England         	21	Denver              	45
12/17/1972	Detroit             	34	LA Rams             	17
12/17/1972	Green Bay           	30	New Orleans         	20
12/17/1972	Kansas City         	17	Atlanta             	14
