11/05/1995	Pittsburgh          	37	Chicago             	34
11/05/1995	Arizona             	 6	Denver              	38
11/05/1995	Washington          	 3	Kansas City         	24
11/05/1995	Oakland             	20	Cincinnati          	17
11/05/1995	NY Giants           	28	Seattle             	30
11/06/1995	Philadelphia        	12	Dallas              	34
11/12/1995	Denver              	13	Philadelphia        	31
11/12/1995	Tampa Bay           	24	Detroit             	27
11/12/1995	Chicago             	28	Green Bay           	35
11/12/1995	Minnesota           	30	Arizona             	24
11/12/1995	Indianapolis        	14	New Orleans         	17
11/12/1995	Carolina            	17	St Louis            	28
11/12/1995	San Francisco       	38	Dallas              	20
11/12/1995	Atlanta             	17	Buffalo             	23
11/12/1995	New England         	34	Miami               	17
11/12/1995	Cincinnati          	32	Houston             	25
11/12/1995	Kansas City         	22	San Diego           	 7
11/12/1995	Oakland             	17	NY Giants           	13
11/12/1995	Seattle             	47	Jacksonville        	30
11/13/1995	Cleveland           	 3	Pittsburgh          	20
11/19/1995	Dallas              	34	Oakland             	21
11/19/1995	NY Giants           	19	Philadelphia        	28
11/19/1995	Detroit             	24	Chicago             	17
11/19/1995	Green Bay           	31	Cleveland           	20
11/19/1995	New Orleans         	24	Minnesota           	43
11/19/1995	Jacksonville        	16	Tampa Bay           	17
11/19/1995	St Louis            	 6	Atlanta             	31
11/19/1995	Arizona             	 7	Carolina            	27
11/19/1995	Buffalo             	28	NY Jets             	26
11/19/1995	Indianapolis        	24	New England         	10
11/19/1995	Pittsburgh          	49	Cincinnati          	31
11/19/1995	San Diego           	27	Denver              	30
11/19/1995	Houston             	13	Kansas City         	20
11/19/1995	Seattle             	27	Washington          	20
11/20/1995	San Francisco       	44	Miami               	20
11/23/1995	Kansas City         	12	Dallas              	24
11/23/1995	Minnesota           	38	Detroit             	44
11/26/1995	Atlanta             	37	Arizona             	40
11/26/1995	Philadelphia        	14	Washington          	 7
11/26/1995	Chicago             	27	NY Giants           	24
11/26/1995	Tampa Bay           	13	Green Bay           	35
11/26/1995	Carolina            	26	New Orleans         	34
11/26/1995	St Louis            	13	San Francisco       	41
11/26/1995	Miami               	28	Indianapolis        	36
11/26/1995	New England         	35	Buffalo             	25
11/26/1995	NY Jets             	16	Seattle             	10
11/26/1995	Cincinnati          	17	Jacksonville        	13
11/26/1995	Denver              	33	Houston             	42
11/26/1995	Pittsburgh          	20	Cleveland           	17
11/27/1995	Oakland             	 6	San Diego           	12
11/30/1995	NY Giants           	10	Arizona             	 6
12/03/1995	Washington          	24	Dallas              	17
12/03/1995	Cincinnati          	10	Green Bay           	24
12/03/1995	Tampa Bay           	17	Minnesota           	31
12/03/1995	Indianapolis        	10	Carolina            	13
12/03/1995	New Orleans         	31	New England         	17
12/03/1995	St Louis            	23	NY Jets             	20
12/03/1995	Buffalo             	17	San Francisco       	27
12/03/1995	Atlanta             	20	Miami               	21
12/03/1995	Houston             	 7	Pittsburgh          	21
12/03/1995	Jacksonville        	23	Denver              	31
12/03/1995	Kansas City         	29	Oakland             	23
12/03/1995	Cleveland           	13	San Diego           	31
12/03/1995	Philadelphia        	14	Seattle             	26
12/04/1995	Chicago             	 7	Detroit             	27
12/09/1995	Cleveland           	11	Minnesota           	27
12/09/1995	Arizona             	25	San Diego           	28
12/10/1995	Washington          	13	NY Giants           	20
12/10/1995	Dallas              	17	Philadelphia        	20
12/10/1995	Detroit             	24	Houston             	17
12/10/1995	Green Bay           	10	Tampa Bay           	13
12/10/1995	New Orleans         	14	Atlanta             	19
12/10/1995	San Francisco       	31	Carolina            	10
12/10/1995	Buffalo             	45	St Louis            	27
12/10/1995	Indianapolis        	41	Jacksonville        	31
12/10/1995	NY Jets             	28	New England         	31
12/10/1995	Chicago             	10	Cincinnati          	16
12/10/1995	Pittsburgh          	29	Oakland             	10
12/10/1995	Seattle             	31	Denver              	27
12/11/1995	Kansas City         	 6	Miami               	13
12/16/1995	Green Bay           	34	New Orleans         	23
12/16/1995	New England         	27	Pittsburgh          	41
12/17/1995	NY Giants           	20	Dallas              	21
12/17/1995	Arizona             	20	Philadelphia        	21
12/17/1995	Washington          	35	St Louis            	23
12/17/1995	Tampa Bay           	10	Chicago             	31
12/17/1995	Jacksonville        	 0	Detroit             	44
12/17/1995	Atlanta             	17	Carolina            	21
12/17/1995	Miami               	20	Buffalo             	23
12/17/1995	Cincinnati          	10	Cleveland           	26
12/17/1995	NY Jets             	 6	Houston             	23
12/17/1995	Denver              	17	Kansas City         	20
12/17/1995	San Diego           	27	Indianapolis        	24
12/17/1995	Oakland             	10	Seattle             	44
12/18/1995	Minnesota           	30	San Francisco       	37
12/23/1995	Detroit             	37	Tampa Bay           	10
12/23/1995	New England         	 7	Indianapolis        	10
12/23/1995	San Diego           	27	NY Giants           	17
12/24/1995	Carolina            	17	Washington          	20
12/24/1995	Philadelphia        	14	Chicago             	20
12/24/1995	Pittsburgh          	19	Green Bay           	24
12/24/1995	San Francisco       	27	Atlanta             	28
12/24/1995	New Orleans         	12	NY Jets             	 0
12/24/1995	Miami               	41	St Louis            	22
12/24/1995	Minnesota           	24	Cincinnati          	27
12/24/1995	Houston             	28	Buffalo             	17
12/24/1995	Cleveland           	21	Jacksonville        	24
12/24/1995	Denver              	31	Oakland             	28
12/24/1995	Seattle             	 3	Kansas City         	26
12/25/1995	Dallas              	37	Arizona             	13
12/30/1995	Detroit             	37	Philadelphia        	58
12/30/1995	Miami               	22	Buffalo             	37
12/31/1995	Atlanta             	20	Green Bay           	37
12/31/1995	Indianapolis        	35	San Diego           	20
01/06/1996	Green Bay           	27	San Francisco       	17
01/06/1996	Buffalo             	21	Pittsburgh          	40
01/07/1996	Philadelphia        	11	Dallas              	30
01/07/1996	Indianapolis        	10	Kansas City         	 7
01/14/1996	Green Bay           	27	Dallas              	38
01/14/1996	Indianapolis        	16	Pittsburgh          	20
01/28/1996	Dallas              	27	Pittsburgh          	17	0
