11/04/1979	Dallas              	16	NY Giants           	14
11/04/1979	New Orleans         	 3	Denver              	10
11/04/1979	LA Rams             	24	Seattle             	 0
11/04/1979	New England         	26	Buffalo             	 6
11/04/1979	NY Jets             	27	Green Bay           	22
11/04/1979	San Francisco       	10	Oakland             	23
11/04/1979	Washington          	 7	Pittsburgh          	38
11/04/1979	San Diego           	20	Kansas City         	14
11/04/1979	Minnesota           	 7	St Louis            	37
11/05/1979	Houston             	 9	Miami               	 6
11/11/1979	Buffalo             	14	NY Jets             	12
11/11/1979	LA Rams             	23	Chicago             	27
11/11/1979	New England         	10	Denver              	45
11/11/1979	Minnesota           	 7	Green Bay           	19
11/11/1979	Oakland             	17	Houston             	31
11/11/1979	Baltimore           	 0	Miami               	19
11/11/1979	San Francisco       	20	New Orleans         	31
11/11/1979	Atlanta             	 3	NY Giants           	24
11/11/1979	Pittsburgh          	30	Kansas City         	 3
11/11/1979	San Diego           	26	Cincinnati          	24
11/11/1979	Seattle             	29	Cleveland           	24
11/11/1979	Tampa Bay           	16	Detroit             	14
11/11/1979	St Louis            	28	Washington          	30
11/12/1979	Philadelphia        	31	Dallas              	21
11/18/1979	Green Bay           	12	Buffalo             	19
11/18/1979	NY Jets             	13	Chicago             	23
11/18/1979	Miami               	24	Cleveland           	30
11/18/1979	Denver              	38	San Francisco       	28
11/18/1979	Cincinnati          	21	Houston             	42
11/18/1979	Kansas City         	24	Oakland             	21
11/18/1979	Detroit             	 7	Minnesota           	14
11/18/1979	Baltimore           	21	New England         	50
11/18/1979	St Louis            	13	Philadelphia        	16
11/18/1979	Pittsburgh          	 7	San Diego           	35
11/18/1979	New Orleans         	24	Seattle             	38
11/18/1979	NY Giants           	 3	Tampa Bay           	31
11/18/1979	Dallas              	20	Washington          	34
11/19/1979	Atlanta             	14	LA Rams             	20
11/22/1979	Chicago             	 0	Detroit             	20
11/22/1979	Houston             	30	Dallas              	24
11/25/1979	Buffalo             	16	New England         	13
11/25/1979	St Louis            	28	Cincinnati          	34
11/25/1979	LA Rams             	26	San Francisco       	20
11/25/1979	Miami               	28	Baltimore           	24
11/25/1979	Minnesota           	23	Tampa Bay           	22
11/25/1979	New Orleans         	37	Atlanta             	 6
11/25/1979	Washington          	 6	NY Giants           	14
11/25/1979	Oakland             	14	Denver              	10
11/25/1979	Philadelphia        	21	Green Bay           	10
