11/27/1975	LA Rams             	20	Detroit             	 0
11/30/1975	Kansas City         	14	Baltimore           	28
11/30/1975	Houston             	19	Cincinnati          	23
11/30/1975	New Orleans         	16	Cleveland           	17
11/30/1975	NY Giants           	 3	Dallas              	14
11/30/1975	San Diego           	10	Denver              	13
11/30/1975	Chicago             	 7	Green Bay           	28
11/30/1975	Atlanta             	34	Oakland             	37
11/30/1975	San Francisco       	17	Philadelphia        	27
11/30/1975	Pittsburgh          	20	NY Jets             	 7
11/30/1975	Minnesota           	30	Washington          	31
12/01/1975	New England         	 7	Miami               	20
12/07/1975	Baltimore           	21	NY Giants           	 0
12/07/1975	Detroit             	21	Chicago             	25
12/07/1975	Cincinnati          	31	Philadelphia        	 0
12/07/1975	Houston             	27	San Francisco       	13
12/07/1975	LA Rams             	14	New Orleans         	 7
12/07/1975	Buffalo             	21	Miami               	31
12/07/1975	Green Bay           	 3	Minnesota           	24
12/07/1975	NY Jets             	30	New England         	28
12/07/1975	Cleveland           	17	Pittsburgh          	31
12/07/1975	San Diego           	28	Kansas City         	20
12/07/1975	Dallas              	17	St Louis            	31
12/07/1975	Washington          	30	Atlanta             	27
12/08/1975	Denver              	10	Oakland             	17
12/13/1975	Washington          	10	Dallas              	31
12/13/1975	Cincinnati          	14	Pittsburgh          	35
12/14/1975	San Francisco       	 9	Atlanta             	31
12/14/1975	Miami               	 7	Baltimore           	10
12/14/1975	Buffalo             	34	New England         	14
12/14/1975	Kansas City         	14	Cleveland           	40
12/14/1975	Philadelphia        	10	Denver              	25
12/14/1975	Minnesota           	10	Detroit             	17
12/14/1975	Houston             	27	Oakland             	26
12/14/1975	Green Bay           	 5	LA Rams             	22
12/14/1975	New Orleans         	14	NY Giants           	28
12/14/1975	St Louis            	34	Chicago             	20
12/15/1975	NY Jets             	16	San Diego           	24
12/20/1975	Pittsburgh          	 3	LA Rams             	10
12/20/1975	Denver              	13	Miami               	14
12/20/1975	Minnesota           	35	Buffalo             	13
12/21/1975	New England         	21	Baltimore           	34
12/21/1975	Chicago             	42	New Orleans         	17
12/21/1975	San Diego           	17	Cincinnati          	47
12/21/1975	Dallas              	31	NY Jets             	21
12/21/1975	Atlanta             	13	Green Bay           	22
12/21/1975	Cleveland           	10	Houston             	21
12/21/1975	NY Giants           	26	San Francisco       	23
12/21/1975	Oakland             	28	Kansas City         	20
12/21/1975	Philadelphia        	26	Washington          	 3
12/21/1975	St Louis            	24	Detroit             	13
12/27/1975	St Louis            	23	LA Rams             	35
12/27/1975	Baltimore           	10	Pittsburgh          	28
12/28/1975	Dallas              	17	Minnesota           	14
12/28/1975	Cincinnati          	28	Oakland             	31
01/04/1976	Dallas              	37	LA Rams             	 7
01/04/1976	Oakland             	10	Pittsburgh          	16
01/18/1976	Pittsburgh          	21	Dallas              	17	n
