11/15/1992	Houston             	17	Minnesota           	13
11/15/1992	Washington          	16	Kansas City         	35
11/15/1992	Seattle             	 3	LA Raiders          	20
11/15/1992	LA Rams             	27	Dallas              	23
11/15/1992	New England         	37	Indianapolis        	34
11/15/1992	Cincinnati          	14	NY Jets             	17
11/15/1992	Detroit             	14	Pittsburgh          	17
11/15/1992	San Diego           	14	Cleveland           	13
11/15/1992	New Orleans         	20	San Francisco       	21
11/15/1992	Chicago             	17	Tampa Bay           	20
11/16/1992	Buffalo             	26	Miami               	20
11/22/1992	Atlanta             	14	Buffalo             	41
11/22/1992	Dallas              	16	Phoenix             	10
11/22/1992	Detroit             	19	Cincinnati          	13
11/22/1992	Green Bay           	17	Chicago             	 3
11/22/1992	Kansas City         	24	Seattle             	14
11/22/1992	Denver              	 0	LA Raiders          	24
11/22/1992	Houston             	16	Miami               	19
11/22/1992	Cleveland           	13	Minnesota           	17
11/22/1992	NY Jets             	 3	New England         	24
11/22/1992	Philadelphia        	47	NY Giants           	34
11/22/1992	Indianapolis        	14	Pittsburgh          	30
11/22/1992	Tampa Bay           	14	San Diego           	29
11/22/1992	San Francisco       	27	LA Rams             	10
11/23/1992	Washington          	 3	New Orleans         	20
11/26/1992	NY Giants           	 3	Dallas              	30
11/26/1992	Houston             	24	Detroit             	21
11/29/1992	New England         	 0	Atlanta             	34
11/29/1992	Chicago             	14	Cleveland           	27
11/29/1992	Tampa Bay           	14	Green Bay           	19
11/29/1992	Buffalo             	13	Indianapolis        	16
11/29/1992	Kansas City         	23	NY Jets             	 7
11/29/1992	Minnesota           	31	LA Rams             	17
11/29/1992	Miami               	13	New Orleans         	24
11/29/1992	Pittsburgh          	21	Cincinnati          	 9
11/29/1992	LA Raiders          	 3	San Diego           	27
11/29/1992	Philadelphia        	14	San Francisco       	20
11/29/1992	Phoenix             	 3	Washington          	41
11/30/1992	Denver              	13	Seattle             	16
12/03/1992	Atlanta             	14	New Orleans         	22
12/06/1992	Cincinnati          	21	Cleveland           	37
12/06/1992	Dallas              	31	Denver              	27
12/06/1992	Detroit             	10	Green Bay           	38
12/06/1992	Indianapolis        	 6	New England         	 0
12/06/1992	Kansas City         	 7	LA Raiders          	28
12/06/1992	LA Rams             	31	Tampa Bay           	27
12/06/1992	NY Jets             	24	Buffalo             	17
12/06/1992	Minnesota           	17	Philadelphia        	28
12/06/1992	Seattle             	14	Pittsburgh          	20
12/06/1992	San Diego           	27	Phoenix             	21
12/06/1992	Miami               	 3	San Francisco       	27
12/06/1992	Washington          	28	NY Giants           	10
12/07/1992	Chicago             	 7	Houston             	24
12/12/1992	Denver              	17	Buffalo             	27
12/12/1992	NY Giants           	 0	Phoenix             	19
12/13/1992	Atlanta             	35	Tampa Bay           	 7
12/13/1992	Pittsburgh          	 6	Chicago             	30
12/13/1992	Cleveland           	14	Detroit             	24
12/13/1992	Green Bay           	16	Houston             	14
12/13/1992	Indianapolis        	10	NY Jets             	 6
12/13/1992	New England         	20	Kansas City         	27
12/13/1992	New Orleans         	37	LA Rams             	14
12/13/1992	Philadelphia        	20	Seattle             	17
12/13/1992	Cincinnati          	10	San Diego           	27
12/13/1992	San Francisco       	20	Minnesota           	17
12/13/1992	Dallas              	17	Washington          	20
12/14/1992	LA Raiders          	 7	Miami               	20
12/19/1992	Kansas City         	21	NY Giants           	35
12/19/1992	Tampa Bay           	14	San Francisco       	21
12/20/1992	Buffalo             	20	New Orleans         	16
12/20/1992	New England         	10	Cincinnati          	20
12/20/1992	Seattle             	 6	Denver              	10
12/20/1992	Chicago             	 3	Detroit             	16
12/20/1992	LA Rams             	13	Green Bay           	28
12/20/1992	Houston             	17	Cleveland           	14
12/20/1992	Phoenix             	13	Indianapolis        	16
12/20/1992	NY Jets             	17	Miami               	19
12/20/1992	Minnesota           	 6	Pittsburgh          	 3
12/20/1992	Washington          	13	Philadelphia        	17
12/20/1992	San Diego           	36	LA Raiders          	14
12/21/1992	Dallas              	41	Atlanta             	17
12/26/1992	LA Raiders          	21	Washington          	20
12/26/1992	New Orleans         	20	NY Jets             	 0
12/27/1992	Chicago             	14	Dallas              	27
12/27/1992	Buffalo             	 3	Houston             	27
12/27/1992	Indianapolis        	21	Cincinnati          	17
12/27/1992	Denver              	20	Kansas City         	42
12/27/1992	Atlanta             	27	LA Rams             	38
12/27/1992	Miami               	16	New England         	13
12/27/1992	Green Bay           	 7	Minnesota           	27
