11/07/1999	Jacksonville   	30	Atlanta        	7	1
11/07/1999	Tennessee      	0	Miami          	17	1
11/07/1999	Arizona        	7	NY Jets        	12	1
11/07/1999	Pittsburgh     	27	San Francisco  	6	1
11/07/1999	Cincinnati     	20	Seattle        	37	1
11/07/1999	Tampa Bay      	31	New Orleans    	16	1
11/08/1999	Dallas         	17	Minnesota      	27	1
11/14/1999	Detroit        	19	Arizona        	23	1
11/14/1999	Miami          	3	Buffalo        	23	1
11/14/1999	Cleveland      	16	Pittsburgh     	15	1
11/14/1999	Green Bay      	13	Dallas         	27	1
11/14/1999	Indianapolis   	27	NY Giants      	19	1
11/14/1999	Baltimore      	3	Jacksonville   	6	1
11/14/1999	Minnesota      	27	Chicago        	24	1
11/14/1999	San Francisco  	6	New Orleans    	24	1
11/14/1999	San Diego      	9	Oakland        	28	1
11/14/1999	Washington     	28	Philadelphia   	35	1
11/14/1999	Carolina       	10	St Louis       	35	1
11/14/1999	Denver         	17	Seattle        	20	1
11/14/1999	Kansas City    	10	Tampa Bay      	17	1
11/14/1999	Tennessee      	24	Cincinnati     	14	1
11/15/1999	NY Jets        	24	New England    	17	1
11/21/1999	Dallas         	9	Arizona        	13	1
11/21/1999	Baltimore      	34	Cincinnati     	31	1
11/21/1999	Carolina       	31	Cleveland      	17	1
11/21/1999	Chicago        	23	San Diego      	20	1
11/21/1999	Detroit        	17	Green Bay      	26	1
11/21/1999	Indianapolis   	44	Philadelphia   	17	1
11/21/1999	New Orleans    	23	Jacksonville   	41	1
11/21/1999	New England    	17	Miami          	27	1
11/21/1999	Buffalo        	7	NY Jets        	17	1
11/21/1999	St Louis       	23	San Francisco  	7	1
11/21/1999	Seattle        	31	Kansas City    	19	1
11/21/1999	Atlanta        	10	Tampa Bay      	19	1
11/21/1999	Pittsburgh     	10	Tennessee      	16	1
11/21/1999	NY Giants      	13	Washington     	23	1
11/22/1999	Oakland        	21	Denver         	27	1
11/25/1999	Miami          	0	Dallas         	20	1
11/25/1999	Chicago        	17	Detroit        	21	1
11/28/1999	Arizona        	34	NY Giants      	24	1
11/28/1999	New England    	7	Buffalo        	17	1
11/28/1999	Atlanta        	28	Carolina       	34	1
11/28/1999	Cincinnati     	27	Pittsburgh     	20	1
11/28/1999	NY Jets        	6	Indianapolis   	13	1
11/28/1999	Jacksonville   	30	Baltimore      	23	1
11/28/1999	Kansas City    	37	Oakland        	34	1
11/28/1999	San Diego      	27	Minnesota      	35	1
11/28/1999	New Orleans    	12	St Louis       	43	1
11/28/1999	Tampa Bay      	16	Seattle        	3	1
11/28/1999	Tennessee      	33	Cleveland      	21	1
11/28/1999	Philadelphia   	17	Washington     	20	1
11/29/1999	Green Bay      	20	San Francisco  	3	1
12/02/1999	Pittsburgh     	6	Jacksonville   	20	1
12/05/1999	Philadelphia   	17	Arizona        	21	1
12/05/1999	New Orleans    	12	Atlanta        	35	1
12/05/1999	Tennessee      	14	Baltimore      	41	1
12/05/1999	San Francisco  	30	Cincinnati     	44	1
12/05/1999	Washington     	17	Detroit        	33	1
12/05/1999	Green Bay      	35	Chicago        	19	1
12/05/1999	Indianapolis   	37	Miami          	34	1
12/05/1999	Kansas City    	16	Denver         	10	1
12/05/1999	Dallas         	6	New England    	13	1
12/05/1999	NY Jets        	28	NY Giants      	41	1
12/05/1999	Seattle        	21	Oakland        	30	1
12/05/1999	St Louis       	34	Carolina       	21	1
12/05/1999	Cleveland      	10	San Diego      	23	1
12/06/1999	Minnesota      	17	Tampa Bay      	24	1
12/09/1999	Oakland        	14	Tennessee      	21	1
12/12/1999	Baltimore      	31	Pittsburgh     	24	1
12/12/1999	Carolina       	33	Green Bay      	31	1
12/12/1999	Cleveland      	28	Cincinnati     	44	1
12/12/1999	Philadelphia   	10	Dallas         	20	1
12/12/1999	New England    	15	Indianapolis   	20	1
12/12/1999	Minnesota      	28	Kansas City    	31	1
12/12/1999	NY Giants      	19	Buffalo        	17	1
