11/18/1990	Chicago             	16	Denver              	13
11/18/1990	Pittsburgh          	 3	Cincinnati          	27
11/18/1990	Dallas              	24	LA Rams             	21
11/18/1990	Green Bay           	24	Phoenix             	21
11/18/1990	Houston             	35	Cleveland           	23
11/18/1990	NY Jets             	14	Indianapolis        	17
11/18/1990	San Diego           	10	Kansas City         	27
11/18/1990	Minnesota           	24	Seattle             	21
11/18/1990	Detroit             	 0	NY Giants           	20
11/18/1990	Philadelphia        	24	Atlanta             	23
11/18/1990	Tampa Bay           	 7	San Francisco       	31
11/18/1990	New Orleans         	17	Washington          	31
11/19/1990	LA Raiders          	13	Miami               	10
11/22/1990	Washington          	17	Dallas              	27
11/22/1990	Denver              	27	Detroit             	40
11/25/1990	Tampa Bay           	10	Green Bay           	20
11/25/1990	Indianapolis        	34	Cincinnati          	20
11/25/1990	Kansas City         	27	LA Raiders          	24
11/25/1990	LA Rams             	28	San Francisco       	17
11/25/1990	Miami               	30	Cleveland           	13
11/25/1990	Chicago             	13	Minnesota           	41
11/25/1990	Atlanta             	 7	New Orleans         	10
11/25/1990	NY Giants           	13	Philadelphia        	31
11/25/1990	New England         	14	Phoenix             	34
11/25/1990	Pittsburgh          	24	NY Jets             	 7
11/25/1990	Seattle             	13	San Diego           	10
11/26/1990	Buffalo             	24	Houston             	27
12/02/1990	Philadelphia        	23	Buffalo             	30
12/02/1990	Detroit             	17	Chicago             	23
12/02/1990	Cincinnati          	16	Pittsburgh          	12
12/02/1990	New Orleans         	13	Dallas              	17
12/02/1990	Kansas City         	37	New England         	 7
12/02/1990	LA Raiders          	23	Denver              	20
12/02/1990	LA Rams             	38	Cleveland           	23
12/02/1990	Green Bay           	 7	Minnesota           	23
12/02/1990	Indianapolis        	17	Phoenix             	20
12/02/1990	NY Jets             	17	San Diego           	38
12/02/1990	Houston             	10	Seattle             	13
12/02/1990	Atlanta             	17	Tampa Bay           	23
12/02/1990	Miami               	20	Washington          	42
12/03/1990	NY Giants           	 3	San Francisco       	 7
12/09/1990	Buffalo             	31	Indianapolis        	 7
12/09/1990	Cleveland           	14	Houston             	58
12/09/1990	Denver              	20	Kansas City         	31
12/09/1990	Philadelphia        	20	Miami               	23
12/09/1990	New Orleans         	24	LA Rams             	20
12/09/1990	Minnesota           	15	NY Giants           	23
12/09/1990	Phoenix             	24	Atlanta             	13
12/09/1990	New England         	 3	Pittsburgh          	24
12/09/1990	San Francisco       	20	Cincinnati          	17
12/09/1990	Seattle             	20	Green Bay           	14
12/09/1990	Chicago             	 9	Washington          	10
12/10/1990	LA Raiders          	38	Detroit             	31
12/15/1990	Buffalo             	17	NY Giants           	13
12/15/1990	Washington          	25	New England         	10
12/16/1990	Atlanta             	10	Cleveland           	13
12/16/1990	Phoenix             	10	Dallas              	41
12/16/1990	San Diego           	10	Denver              	20
12/16/1990	Chicago             	21	Detroit             	38
12/16/1990	Houston             	27	Kansas City         	10
12/16/1990	Indianapolis        	29	NY Jets             	21
12/16/1990	Cincinnati          	 7	LA Raiders          	24
12/16/1990	Seattle             	17	Miami               	24
12/16/1990	Green Bay           	 0	Philadelphia        	31
12/16/1990	Pittsburgh          	 9	New Orleans         	 6
12/16/1990	Minnesota           	13	Tampa Bay           	26
12/17/1990	San Francisco       	26	LA Rams             	10
12/22/1990	Detroit             	24	Green Bay           	17
12/22/1990	Washington          	28	Indianapolis        	35
12/22/1990	LA Raiders          	28	Minnesota           	24
12/23/1990	LA Rams             	13	Atlanta             	20
12/23/1990	Miami               	14	Buffalo             	24
12/23/1990	Tampa Bay           	14	Chicago             	27
12/23/1990	Cincinnati          	40	Houston             	20
12/23/1990	Kansas City         	24	San Diego           	21
12/23/1990	New Orleans         	13	San Francisco       	10
12/23/1990	NY Giants           	24	Phoenix             	21
12/23/1990	New England         	 7	NY Jets             	42
12/23/1990	Dallas              	 3	Philadelphia        	17
12/23/1990	Cleveland           	 0	Pittsburgh          	35
12/23/1990	Denver              	12	Seattle             	17
12/29/1990	Kansas City         	21	Chicago             	10
12/29/1990	Philadelphia        	23	Phoenix             	21
12/30/1990	Dallas              	 7	Atlanta             	26
12/30/1990	Cleveland           	14	Cincinnati          	21
12/30/1990	Green Bay           	13	Denver              	22
12/30/1990	Pittsburgh          	14	Houston             	34
12/30/1990	San Diego           	12	LA Raiders          	17
12/30/1990	Indianapolis        	17	Miami               	23
12/30/1990	NY Giants           	13	New England         	10
12/30/1990	NY Jets             	16	Tampa Bay           	14
12/30/1990	San Francisco       	20	Minnesota           	17
12/30/1990	Detroit             	10	Seattle             	30
12/30/1990	Buffalo             	14	Washington          	29
12/31/1990	LA Rams             	17	New Orleans         	20
01/05/1991	Kansas City         	16	Miami               	17
01/05/1991	Washington          	20	Philadelphia        	 6
01/06/1991	New Orleans         	 6	Chicago             	16
01/06/1991	Houston             	14	Cincinnati          	41
01/12/1991	Miami               	34	Buffalo             	44
01/12/1991	Washington          	10	San Francisco       	28
01/13/1991	Cincinnati          	10	LA Raiders          	20
01/13/1991	Chicago             	 3	NY Giants           	31
01/20/1991	LA Raiders          	 3	Buffalo             	51
01/20/1991	NY Giants           	15	San Francisco       	13
01/29/1991	NY Giants           	20	Buffalo             	19	0
