01/09/1983	Tampa Bay           	17	Dallas              	30
01/09/1983	Atlanta             	24	Minnesota           	30
01/09/1983	NY Jets             	44	Cincinnati          	17
01/09/1983	San Diego           	31	Pittsburgh          	28
01/15/1983	NY Jets             	17	LA Raiders          	14
01/15/1983	Minnesota           	 7	Washington          	21
01/16/1983	Green Bay           	26	Dallas              	37
01/16/1983	San Diego           	13	Miami               	34
01/22/1983	Dallas              	17	Washington          	31
01/23/1983	NY Jets             	 0	Miami               	14
01/30/1983	Washington          	27	Miami               	17	0
