11/21/1993	Detroit             	17	Green Bay           	26
11/21/1993	Minnesota           	10	Tampa Bay           	23
11/21/1993	Dallas              	14	Atlanta             	27
11/21/1993	Washington          	 6	LA Rams             	10
11/21/1993	Indianapolis        	 9	Buffalo             	23
11/21/1993	New England         	13	Miami               	17
11/21/1993	Cincinnati          	12	NY Jets             	17
11/21/1993	Houston             	27	Cleveland           	20
11/21/1993	Pittsburgh          	13	Denver              	37
11/21/1993	LA Raiders          	12	San Diego           	 7
11/22/1993	New Orleans         	 7	San Francisco       	42
11/25/1993	Chicago             	10	Detroit             	 6
11/25/1993	Miami               	16	Dallas              	14
11/28/1993	Phoenix             	17	NY Giants           	19
11/28/1993	Philadelphia        	17	Washington          	14
11/28/1993	Tampa Bay           	10	Green Bay           	13
11/28/1993	Cleveland           	14	Atlanta             	17
11/28/1993	New Orleans         	17	Minnesota           	14
11/28/1993	San Francisco       	35	LA Rams             	10
11/28/1993	NY Jets             	 6	New England         	 0
11/28/1993	LA Raiders          	10	Cincinnati          	16
11/28/1993	Pittsburgh          	 3	Houston             	23
11/28/1993	Denver              	17	Seattle             	 9
11/28/1993	Buffalo             	 7	Kansas City         	23
11/29/1993	San Diego           	31	Indianapolis        	 0
12/05/1993	LA Rams             	10	Phoenix             	38
12/05/1993	NY Giants           	19	Miami               	14
12/05/1993	Washington          	23	Tampa Bay           	17
12/05/1993	Green Bay           	17	Chicago             	30
12/05/1993	Minnesota           	13	Detroit             	 0
12/05/1993	Cincinnati          	 8	San Francisco       	21
12/05/1993	Indianapolis        	 9	NY Jets             	 6
12/05/1993	New Orleans         	13	Cleveland           	17
12/05/1993	Atlanta             	17	Houston             	33
12/05/1993	New England         	14	Pittsburgh          	17
12/05/1993	Kansas City         	31	Seattle             	16
12/05/1993	LA Raiders          	25	Buffalo             	24
12/05/1993	Denver              	10	San Diego           	13
12/06/1993	Philadelphia        	17	Dallas              	23
12/11/1993	San Francisco       	24	Atlanta             	27
12/11/1993	NY Jets             	 3	Washington          	 0
12/12/1993	Dallas              	37	Minnesota           	20
12/12/1993	Indianapolis        	 6	NY Giants           	20
12/12/1993	Detroit             	21	Phoenix             	14
12/12/1993	Green Bay           	20	San Diego           	13
12/12/1993	Chicago             	10	Tampa Bay           	13
12/12/1993	LA Rams             	23	New Orleans         	20
12/12/1993	Buffalo             	10	Philadelphia        	 7
12/12/1993	Cincinnati          	 2	New England         	 7
12/12/1993	Cleveland           	17	Houston             	19
12/12/1993	Kansas City         	21	Denver              	27
12/12/1993	Seattle             	23	LA Raiders          	27
12/13/1993	Pittsburgh          	21	Miami               	20
12/18/1993	Dallas              	28	NY Jets             	 7
12/18/1993	Denver              	13	Chicago             	 3
12/19/1993	Phoenix             	30	Seattle             	27
12/19/1993	Philadelphia        	20	Indianapolis        	10
12/19/1993	Atlanta             	17	Washington          	30
12/19/1993	Minnesota           	21	Green Bay           	17
12/19/1993	San Francisco       	55	Detroit             	17
12/19/1993	Buffalo             	47	Miami               	34
12/19/1993	New England         	20	Cleveland           	17
12/19/1993	LA Rams             	 3	Cincinnati          	15
12/19/1993	Houston             	26	Pittsburgh          	17
12/19/1993	San Diego           	24	Kansas City         	28
12/19/1993	Tampa Bay           	20	LA Raiders          	27
12/20/1993	NY Giants           	24	New Orleans         	14
12/25/1993	Houston             	10	San Francisco       	 7
12/26/1993	NY Giants           	 6	Phoenix             	17
12/26/1993	Washington          	 3	Dallas              	38
12/26/1993	New Orleans         	26	Philadelphia        	37
12/26/1993	Detroit             	20	Chicago             	14
12/26/1993	LA Raiders          	 0	Green Bay           	28
12/26/1993	Kansas City         	10	Minnesota           	30
12/26/1993	Tampa Bay           	17	Denver              	10
12/26/1993	NY Jets             	14	Buffalo             	16
12/26/1993	Indianapolis        	 0	New England         	38
12/26/1993	Atlanta             	17	Cincinnati          	21
12/26/1993	Cleveland           	42	LA Rams             	14
12/26/1993	Pittsburgh          	 6	Seattle             	16
12/27/1993	Miami               	20	San Diego           	45
12/31/1993	Minnesota           	14	Washington          	 9
01/02/1994	Phoenix             	27	Atlanta             	10
01/02/1994	Dallas              	16	NY Giants           	13
01/02/1994	Green Bay           	20	Detroit             	30
