11/09/1986	Seattle             	 7	Kansas City         	27
11/09/1986	LA Raiders          	17	Dallas              	13
11/09/1986	Minnesota           	24	Detroit             	10
11/09/1986	New England         	30	Indianapolis        	21
11/09/1986	LA Rams             	 0	New Orleans         	 6
11/09/1986	NY Giants           	17	Philadelphia        	14
11/09/1986	NY Jets             	28	Atlanta             	14
11/09/1986	San Diego           	 9	Denver              	 3
11/09/1986	St Louis            	17	San Francisco       	43
11/09/1986	Washington          	16	Green Bay           	 7
11/10/1986	Miami               	16	Cleveland           	26
11/16/1986	Chicago             	13	Atlanta             	10
11/16/1986	Seattle             	 7	Cincinnati          	34
11/16/1986	Dallas              	24	San Diego           	21
11/16/1986	Kansas City         	17	Denver              	38
11/16/1986	Detroit             	13	Philadelphia        	11
11/16/1986	Tampa Bay           	 7	Green Bay           	31
11/16/1986	Cleveland           	14	LA Raiders          	27
11/16/1986	Miami               	34	Buffalo             	24
11/16/1986	New England         	30	LA Rams             	28
11/16/1986	New Orleans         	16	St Louis            	 7
11/16/1986	NY Giants           	22	Minnesota           	20
11/16/1986	Indianapolis        	16	NY Jets             	31
11/16/1986	Houston             	10	Pittsburgh          	21
11/17/1986	San Francisco       	 6	Washington          	14
11/20/1986	LA Raiders          	37	San Diego           	31
11/23/1986	Green Bay           	10	Chicago             	12
11/23/1986	Minnesota           	20	Cincinnati          	24
11/23/1986	Pittsburgh          	31	Cleveland           	37
11/23/1986	Detroit             	38	Tampa Bay           	17
11/23/1986	Indianapolis        	17	Houston             	31
11/23/1986	New Orleans         	13	LA Rams             	26
11/23/1986	Buffalo             	19	New England         	22
11/23/1986	Denver              	16	NY Giants           	19
11/23/1986	Kansas City         	14	St Louis            	23
11/23/1986	Atlanta             	 0	San Francisco       	20
11/23/1986	Philadelphia        	20	Seattle             	24
11/23/1986	Dallas              	14	Washington          	41
11/24/1986	NY Jets             	 3	Miami               	45
11/27/1986	Green Bay           	44	Detroit             	40
11/27/1986	Seattle             	31	Dallas              	14
11/30/1986	Atlanta             	20	Miami               	14
11/30/1986	Buffalo             	17	Kansas City         	14
